trip_distance,ride_time,fare_amount,pickup_hour,PULocationID,DOLocationID,passenger_count,payment_type
20.38,29.066668,55.0,5.0,107.0,70.0,1.0,
1.0,5.0833335,5.0,19.0,42.0,46.0,0.0,
2.15,16.783333,12.5,12.0,132.0,225.0,1.0,
1.75,22.733334,14.0,17.0,132.0,177.0,1.0,
1.05,5.3,5.5,20.0,37.0,228.0,1.0,
1.7,12.716666,10.0,18.0,190.0,133.0,1.0,
0.88,10.866667,8.0,15.0,132.0,177.0,1.0,
2.07,22.116667,14.0,18.0,133.0,235.0,1.0,
0.98,7.633333,6.0,20.0,198.0,226.0,1.0,
2.86,21.816668,14.5,10.0,197.0,130.0,1.0,
14.9,59.066666,65.0,12.0,132.0,125.0,1.0,
1.58,15.433333,11.0,16.0,198.0,156.0,1.0,
14.5,26.016666,40.5,0.0,113.0,246.0,1.0,
0.92,5.9333334,6.0,15.0,197.0,226.0,1.0,
1.1,7.5666666,6.5,21.0,68.0,238.0,1.0,
18.4,62.083332,57.5,16.0,107.0,161.0,0.0,
1.76,14.716666,10.5,16.0,37.0,177.0,1.0,
2.02,8.333333,8.0,20.0,191.0,238.0,5.0,
1.27,10.116667,8.0,8.0,133.0,66.0,1.0,
11.0,28.5,34.0,7.0,134.0,131.0,1.0,
15.09,40.033333,52.0,13.0,107.0,215.0,2.0,
1.61,13.433333,9.5,11.0,195.0,154.0,1.0,
8.92,36.416668,32.0,18.0,113.0,101.0,2.0,
1.8,12.683333,10.0,16.0,141.0,136.0,1.0,
1.49,13.116667,10.0,20.0,192.0,137.0,1.0,
3.2,10.25,11.0,7.0,159.0,163.0,1.0,
1.9,8.816667,8.5,14.0,190.0,252.0,1.0,
16.2,75.933334,52.0,16.0,132.0,125.0,1.0,
1.21,7.2166667,7.0,19.0,135.0,107.0,1.0,
2.61,13.883333,11.0,16.0,141.0,107.0,1.0,
9.86,24.833334,30.0,12.0,199.0,131.0,1.0,
3.07,26.283333,17.0,18.0,133.0,151.0,1.0,
1.87,17.266666,12.0,12.0,197.0,154.0,1.0,
0.63,4.2,5.0,10.0,219.0,252.0,1.0,
1.05,6.1833334,-6.0,16.0,205.0,97.0,1.0,
0.7,14.966666,10.0,14.0,153.0,97.0,1.0,
1.84,9.666667,9.0,21.0,134.0,225.0,1.0,
1.12,5.133333,6.0,5.0,153.0,155.0,1.0,
0.6,7.5333333,6.5,18.0,58.0,46.0,1.0,
2.7,11.033334,11.0,21.0,208.0,235.0,1.0,
1.2,7.15,6.5,22.0,132.0,226.0,1.0,
1.86,14.55,11.0,20.0,132.0,136.0,1.0,
1.44,7.8166666,7.5,18.0,64.0,251.0,1.0,
1.25,13.366667,9.5,22.0,40.0,156.0,2.0,
1.5,22.216667,14.0,12.0,191.0,66.0,1.0,
1.08,6.9666667,6.5,22.0,119.0,250.0,1.0,
0.84,5.4666667,5.5,7.0,40.0,219.0,1.0,
10.78,20.133333,22.0,19.0,221.0,74.0,2.0,
8.78,22.55,27.0,6.0,107.0,110.0,1.0,
15.09,50.783333,52.0,9.0,141.0,125.0,1.0,
1.79,19.483334,13.0,15.0,141.0,156.0,1.0,
1.1,6.2,6.0,17.0,141.0,134.0,1.0,
3.67,24.516666,17.0,18.0,208.0,226.0,1.0,
1.57,15.366667,11.0,17.0,198.0,219.0,1.0,
1.79,6.1666665,8.0,20.0,37.0,225.0,1.0,
0.89,4.7166667,5.5,8.0,116.0,155.0,1.0,
3.95,20.9,16.5,9.0,134.0,159.0,1.0,
0.4,7.05,6.0,11.0,133.0,154.0,1.0,
0.89,6.9166665,6.5,17.0,133.0,226.0,1.0,
1.54,12.683333,9.5,18.0,134.0,219.0,1.0,
0.7,7.2166667,6.0,18.0,132.0,219.0,1.0,
8.75,24.016666,27.5,7.0,219.0,95.0,1.0,
2.1,11.033334,9.5,20.0,134.0,223.0,3.0,
1.67,9.983334,8.5,18.0,100.0,177.0,1.0,
2.71,11.45,10.5,22.0,153.0,220.0,1.0,
1.38,9.483334,7.5,12.0,195.0,137.0,2.0,
8.9,25.35,27.0,2.0,88.0,35.0,1.0,
2.01,7.116667,8.0,0.0,208.0,48.0,1.0,
0.95,8.983334,7.5,11.0,40.0,66.0,1.0,
1.3,8.766666,7.5,21.0,133.0,177.0,1.0,
4.2,26.416666,19.0,13.0,200.0,223.0,1.0,
4.8,27.983334,21.5,14.0,153.0,144.0,1.0,
0.69,1.85,4.0,17.0,200.0,135.0,1.0,
1.13,2.75,5.0,0.0,190.0,133.0,1.0,
1.66,7.233333,7.5,17.0,133.0,133.0,2.0,
3.3,17.416666,14.0,18.0,119.0,46.0,1.0,
1.89,15.2,11.0,9.0,129.0,223.0,5.0,
9.55,38.683334,32.5,18.0,107.0,169.0,1.0,
1.11,9.333333,7.5,21.0,195.0,77.0,1.0,
0.6,3.4,4.5,8.0,84.0,219.0,1.0,
1.25,7.983333,7.0,10.0,35.0,73.0,1.0,
2.4,17.566668,13.0,14.0,200.0,226.0,1.0,
1.7,7.45,7.5,13.0,117.0,22.0,2.0,
1.0,9.25,7.5,15.0,194.0,157.0,1.0,
0.9,9.133333,7.0,17.0,141.0,177.0,1.0,
0.37,3.8,4.5,7.0,88.0,223.0,1.0,
11.37,99.4,43.5,15.0,181.0,132.0,1.0,
16.83,29.266666,47.5,5.0,107.0,142.0,1.0,
1.9,17.216667,11.0,19.0,134.0,177.0,1.0,
6.67,39.483334,28.5,16.0,199.0,220.0,2.0,
1.0,5.95,6.0,10.0,200.0,227.0,1.0,
14.0,41.633335,41.0,19.0,113.0,238.0,1.0,
0.7,3.3,4.5,8.0,199.0,228.0,3.0,
5.2,20.883333,17.5,5.0,92.0,251.0,1.0,
8.1,26.083334,25.5,9.0,113.0,222.0,1.0,
13.78,49.183334,65.0,14.0,10.0,0.0,1.0,
4.1,16.683332,15.5,1.0,40.0,2.0,1.0,
18.45,70.916664,52.0,19.0,118.0,125.0,2.0,
1.99,17.883333,12.5,11.0,220.0,133.0,1.0,
1.3,5.85,6.5,20.0,58.0,223.0,1.0,
3.58,13.066667,12.5,22.0,220.0,77.0,1.0,
0.5,2.35,3.5,20.0,200.0,228.0,1.0,
1.5,9.116667,8.0,20.0,133.0,46.0,1.0,
10.25,43.633335,34.0,17.0,113.0,23.0,4.0,
1.35,12.05,9.0,17.0,208.0,220.0,1.0,
0.95,4.733333,5.5,11.0,141.0,218.0,5.0,
3.36,20.266666,15.5,9.0,34.0,220.0,1.0,
